webkb,DM,vectorized,None,faculty,745,6141,49.091240842826664
webkb,DM,vectorized,None,project,335,4576,21.586588884703815
webkb,DM,vectorized,None,course,620,4802,34.25572150852531
webkb,DM,vectorized,None,student,1085,6007,50.58183968812227
webkb,DM,approximate,None,faculty,745,6141,59.138881320133805
webkb,DM,approximate,None,project,335,4576,26.58767250739038
webkb,DM,approximate,None,course,620,4802,47.365863914601505
webkb,DM,approximate,None,student,1085,6007,68.14705813489854
webkb,DM,sklar,None,faculty,745,6141,2440.120301855728
webkb,DM,sklar,None,project,335,4576,208.5486031016335
webkb,DM,sklar,None,course,620,4802,160.49693927820772
webkb,DM,sklar,None,student,1085,6007,78.57193691749126
webkb,DM,vectorized,empirical,faculty,745,6141,63.745644136331975
webkb,DM,vectorized,empirical,project,335,4576,37.13692706078291
webkb,DM,vectorized,empirical,course,620,4802,40.23935816064477
webkb,DM,vectorized,empirical,student,1085,6007,95.51667552627623
webkb,DM,approximate,empirical,faculty,745,6141,90.66811240557581
webkb,DM,approximate,empirical,project,335,4576,43.54469836503267
webkb,DM,approximate,empirical,course,620,4802,81.55212763790041
webkb,DM,approximate,empirical,student,1085,6007,106.61725639924407
webkb,DM,sklar,empirical,faculty,745,6141,2537.1675081495196
webkb,DM,sklar,empirical,project,335,4576,199.75724359229207
webkb,DM,sklar,empirical,course,620,4802,187.06766545586288
webkb,DM,sklar,empirical,student,1085,6007,68.86812873184681
webkb,DM,vectorized,aposteriori,faculty,745,6141,62.38868713006377
webkb,DM,vectorized,aposteriori,project,335,4576,36.66929948795587
webkb,DM,vectorized,aposteriori,course,620,4802,51.208121022209525
webkb,DM,vectorized,aposteriori,student,1085,6007,108.73643112834543
webkb,DM,approximate,aposteriori,faculty,745,6141,97.45253196544945
webkb,DM,approximate,aposteriori,project,335,4576,48.08907725755125
webkb,DM,approximate,aposteriori,course,620,4802,67.24278496112674
webkb,DM,approximate,aposteriori,student,1085,6007,94.800457556732
webkb,DM,sklar,aposteriori,faculty,745,6141,2428.509236522019
webkb,DM,sklar,aposteriori,project,335,4576,211.00352804828435
webkb,DM,sklar,aposteriori,course,620,4802,243.2023489382118
webkb,DM,sklar,aposteriori,student,1085,6007,91.24914898909628
webkb,BLM,vectorized,None,faculty,745,6141,87.39289226289839
webkb,BLM,vectorized,None,project,335,4576,39.969471984542906
webkb,BLM,vectorized,None,course,620,4802,95.17065216228366
webkb,BLM,vectorized,None,student,1085,6007,125.0166379166767
webkb,BLM,approximate,None,faculty,745,6141,90.46745100338012
webkb,BLM,approximate,None,project,335,4576,63.14440798293799
webkb,BLM,approximate,None,course,620,4802,89.26654188986868
webkb,BLM,approximate,None,student,1085,6007,106.33122033718973
webkb,BLM,sklar,None,faculty,745,6141,3099.667364834808
webkb,BLM,sklar,None,project,335,4576,245.7550809169188
webkb,BLM,sklar,None,course,620,4802,282.21771882567555
webkb,BLM,sklar,None,student,1085,6007,111.84108390845358
webkb,BLM,vectorized,empirical,faculty,745,6141,91.327467716299
webkb,BLM,vectorized,empirical,project,335,4576,48.55811505950987
webkb,BLM,vectorized,empirical,course,620,4802,64.2750536147505
webkb,BLM,vectorized,empirical,student,1085,6007,147.38029924035072
webkb,BLM,approximate,empirical,faculty,745,6141,100.0995186297223
webkb,BLM,approximate,empirical,project,335,4576,41.682133335620165
webkb,BLM,approximate,empirical,course,620,4802,72.3100171322003
webkb,BLM,approximate,empirical,student,1085,6007,92.88824875093997
webkb,BLM,sklar,empirical,faculty,745,6141,3122.297680123709
webkb,BLM,sklar,empirical,project,335,4576,251.481053320691
webkb,BLM,sklar,empirical,course,620,4802,277.5919585451484
webkb,BLM,sklar,empirical,student,1085,6007,116.68287417758256
webkb,BLM,vectorized,aposteriori,faculty,745,6141,133.08003186341375
webkb,BLM,vectorized,aposteriori,project,335,4576,44.66340406984091
webkb,BLM,vectorized,aposteriori,course,620,4802,84.60163712780923
webkb,BLM,vectorized,aposteriori,student,1085,6007,150.00630050897598
webkb,BLM,approximate,aposteriori,faculty,745,6141,79.7017638264224
webkb,BLM,approximate,aposteriori,project,335,4576,57.270657365210354
webkb,BLM,approximate,aposteriori,course,620,4802,74.32459149044007
webkb,BLM,approximate,aposteriori,student,1085,6007,118.68679594807327
webkb,BLM,sklar,aposteriori,faculty,745,6141,3154.416726557538
webkb,BLM,sklar,aposteriori,project,335,4576,226.4160129763186
webkb,BLM,sklar,aposteriori,course,620,4802,318.20548528805375
webkb,BLM,sklar,aposteriori,student,1085,6007,106.11536125466228
r8,DM,vectorized,None,crude,253,3142,20.098954984918237
r8,DM,vectorized,None,earn,2840,7722,181.36186827998608
r8,DM,vectorized,None,grain,41,1283,4.7211641715839505
r8,DM,vectorized,None,trade,251,3079,22.804440532810986
r8,DM,vectorized,None,ship,108,1954,9.234356261789799
r8,DM,vectorized,None,money-fx,206,2368,26.36724559403956
r8,DM,vectorized,None,acq,1596,7853,111.27547158952802
r8,DM,vectorized,None,interest,190,1758,16.8824414703995
r8,DM,approximate,None,crude,253,3142,25.005599818192422
r8,DM,approximate,None,earn,2840,7722,196.14072982780635
r8,DM,approximate,None,grain,41,1283,5.553787392564118
r8,DM,approximate,None,trade,251,3079,31.465169871225953
r8,DM,approximate,None,ship,108,1954,4.651602106168866
r8,DM,approximate,None,money-fx,206,2368,17.51665763836354
r8,DM,approximate,None,acq,1596,7853,155.77157485019416
r8,DM,approximate,None,interest,190,1758,7.477875970304012
r8,DM,sklar,None,crude,253,3142,27.890277318656445
r8,DM,sklar,None,earn,2840,7722,82.92846943531185
