webkb,None,pooledDM,ts,None,mu=0.7000000000000001|beta=0.1,project,135,68,33,1160
webkb,None,pooledDM,ts,None,mu=0.7000000000000001|beta=0.1,student,472,78,72,774
webkb,None,pooledDM,ts,None,mu=0.7000000000000001|beta=0.2,course,289,30,21,1056
webkb,None,pooledDM,ts,None,mu=0.7000000000000001|beta=0.2,faculty,265,53,109,969
webkb,None,pooledDM,ts,None,mu=0.7000000000000001|beta=0.2,project,137,71,31,1157
webkb,None,pooledDM,ts,None,mu=0.7000000000000001|beta=0.2,student,473,78,71,774
webkb,None,pooledDM,ts,None,mu=0.7000000000000001|beta=0.30000000000000004,course,290,31,20,1055
webkb,None,pooledDM,ts,None,mu=0.7000000000000001|beta=0.30000000000000004,faculty,258,50,116,972
webkb,None,pooledDM,ts,None,mu=0.7000000000000001|beta=0.30000000000000004,project,139,75,29,1153
webkb,None,pooledDM,ts,None,mu=0.7000000000000001|beta=0.30000000000000004,student,475,78,69,774
webkb,None,pooledDM,ts,None,mu=0.7000000000000001|beta=0.4,course,290,32,20,1054
webkb,None,pooledDM,ts,None,mu=0.7000000000000001|beta=0.4,faculty,256,48,118,974
webkb,None,pooledDM,ts,None,mu=0.7000000000000001|beta=0.4,project,140,79,28,1149
webkb,None,pooledDM,ts,None,mu=0.7000000000000001|beta=0.4,student,474,77,70,775
